word,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
cnn,2823,242,0.02631211028157593,0.004792648631520576,3065
donald,2501,552,0.023310870639114915,0.01093199191983206,3053
school,2806,182,0.026153659741446,0.0036043886402344835,2988
super,2947,23,0.02746786716252365,0.0004554996633263358,2970
buildthewall,2958,1,0.027570393982607723,1.9804333188101555e-05,2959
bowl,2947,1,0.02746786716252365,1.9804333188101555e-05,2948
already,2175,707,0.020272348516623327,0.0140016635639878,2882
hollywood,2869,11,0.026740858801927503,0.00021784766506911712,2880
whistleblower,137,2709,0.0012769249410470784,0.05364993860656712,2846
mainstream,2427,415,0.022621144758549337,0.008218798273062145,2842
porn,2633,195,0.024541192480123777,0.0038618449716798036,2828
100,2802,11,0.02611637726141543,0.00021784766506911712,2813
shows,2313,461,0.02155859407767805,0.009129797599714818,2774
guards,2732,3,0.025463933860880427,5.941299956430467e-05,2735
armed,2709,8,0.02524955960070464,0.00015843466550481244,2717
away,2585,122,0.024093802719756918,0.00241612864894839,2707
surrounded,2688,9,0.02505382658054414,0.000178238998692914,2697
deportthemall,2693,1,0.02510042968058235,1.9804333188101555e-05,2694
would,1550,1131,0.014446961011846508,0.02239870083574286,2681
walls,2678,3,0.02496062038046771,5.941299956430467e-05,2681
study,2616,56,0.02438274193999385,0.0011090426585336872,2672
open,2543,120,0.023702336679435915,0.002376519982572187,2663
mexican,2659,2,0.024783528600322492,3.960866637620311e-05,2661
golden,2654,3,0.02473692550028428,5.941299956430467e-05,2657
globes,2651,1,0.02470896364026135,1.9804333188101555e-05,2652
without,2505,135,0.023348153119145485,0.0026735849803937103,2640
worker,2615,20,0.024373421319986207,0.00039608666376203115,2635
top,1203,1419,0.01121270586919442,0.02810234879391611,2622
possession,2595,1,0.024187008919833348,1.9804333188101555e-05,2596
party,2277,317,0.021223051757402904,0.006277973620628194,2594
democrats,1302,1245,0.012135447249951067,0.02465639481918644,2547
another,1725,797,0.016078069513184017,0.01578405355091694,2522
hoax,2464,49,0.022966007698832128,0.0009704123262169763,2513
action,2222,242,0.020710417656982543,0.004792648631520576,2464
deported,2396,9,0.02233220553831241,0.000178238998692914,2405
year,2146,254,0.02000205053640168,0.005030300629777796,2400
elected,2370,27,0.022089869418113695,0.000534716996078742,2397
across,2375,14,0.022136472518151908,0.0002772606646334218,2389
man,2198,189,0.020486722776799113,0.0037430189725511944,2387
drug,2323,45,0.021651800277754474,0.00089119499346457,2368
back,1783,580,0.016618665473627305,0.011486513249098903,2363
truly,2338,17,0.02179160957786912,0.00033667366419772645,2355
covington,2352,1,0.02192209825797612,1.9804333188101555e-05,2353
executive,2172,180,0.0202443866566004,0.00356477997385828,2352
complaint,1402,949,0.013067509250715358,0.018794312195508377,2351
catholic,2339,1,0.021800930197876763,1.9804333188101555e-05,2340
harris,2256,83,0.021027318737242402,0.0016437596546124292,2339
target,2325,14,0.021670441517769763,0.0002772606646334218,2339
hes,1747,592,0.01628312315335216,0.011724165247356122,2339
twitter,2135,168,0.019899523716317608,0.0033271279756010613,2303
favor,2187,97,0.02038419595671504,0.001921020319245851,2284
jr,2282,1,0.021269654857441117,1.9804333188101555e-05,2283
election,1612,656,0.015024839452320369,0.01299164257139462,2268
eight,2197,42,0.02047740215679147,0.0008317819939002653,2239
late,2214,20,0.0206358526969214,0.00039608666376203115,2234
wide,2224,6,0.02072905889699783,0.00011882599912860934,2230
cartels,2226,1,0.020747700137013114,1.9804333188101555e-05,2227
overstayers,2222,1,0.020710417656982543,1.9804333188101555e-05,2223
jared,2157,50,0.020104577356485753,0.0009902166594050778,2207
better,2078,126,0.019368248375881962,0.002495345981700796,2204
stays,2124,67,0.019796996896233536,0.0013268903236028043,2191
least,1953,232,0.0182031708749266,0.004594605299639561,2185
foreign,832,1339,0.0077547558463589,0.026518002138867985,2171
shots,2127,36,0.019824958756256467,0.000712955994771656,2163
people,1291,858,0.012032920429866995,0.016992117875391136,2149
search,2145,2,0.019992729916394038,3.960866637620311e-05,2147
westbrook,2142,1,0.01996476805637111,1.9804333188101555e-05,2143
russell,2140,1,0.019946126816355825,1.9804333188101555e-05,2141
practice,2134,3,0.019890203096309966,5.941299956430467e-05,2137
dedicated,2123,11,0.019787676276225893,0.00021784766506911712,2134
enter,863,1270,0.00804369506659583,0.025151503148888976,2133
results,2115,17,0.019713111316164753,0.00033667366419772645,2132
extra,2126,4,0.019815638136248825,7.921733275240622e-05,2130
engine,2128,1,0.01983427937626411,1.9804333188101555e-05,2129
state,664,1456,0.006188891685074891,0.028835109121875868,2120
dealers,2112,2,0.01968514945614182,3.960866637620311e-05,2114
licenses,2110,1,0.019666508216126536,1.9804333188101555e-05,2111
overwhelmingly,2109,2,0.019657187596118893,3.960866637620311e-05,2111
mass,2004,97,0.018678522495316388,0.001921020319245851,2101
bill,1497,567,0.013952968151441434,0.011229056917653583,2064
call,521,1524,0.004856043023981955,0.030181803778666774,2045
know,1146,893,0.010681430528758773,0.01768526953697469,2039
4,1501,525,0.013990250631472006,0.010397274923753317,2026
get,1332,673,0.012415065850180354,0.013328316235592347,2005
dont,1097,890,0.01022472014838427,0.017625856537410386,1987
–,1388,598,0.012937020570608356,0.01184299124648473,1986
kamala,1927,53,0.017960834754727883,0.0010496296589693826,1980
admits,1880,91,0.017522765614368666,0.0018021943201172418,1971
impeachment,1,1961,9.320620007642909e-06,0.038836297381867155,1962
climate,1549,411,0.014437640391838865,0.00813958094030974,1960
duckduckgo,1954,1,0.018212491494934244,1.9804333188101555e-05,1955
report,1735,217,0.016171275713260446,0.0042975403018180374,1952
white,501,1444,0.004669630623829097,0.028597457123618646,1945
general,1271,667,0.011846508029714136,0.013209490236463738,1938
amp,645,1275,0.006011799904929676,0.025250524814829485,1920
im,1662,240,0.015490870452702513,0.004753039965144374,1902
first,670,1219,0.0062448154051207485,0.024141482156295798,1889
accepting,1727,143,0.0160967107531993,0.0028320196458985225,1870
tom,1823,35,0.016991490273933024,0.0006931516615835545,1858
work,1326,530,0.012359142130134497,0.010496296589693825,1856
immigration,1456,389,0.013570822731128074,0.007703885610171506,1845
campaign,73,1757,0.0006804052605579324,0.034796213411494435,1830
serious,1650,178,0.015379023012610798,0.0035251713074820772,1828
freedom,1811,10,0.01687964283384131,0.00019804333188101558,1821
means,1748,62,0.016292443773359803,0.0012278686576622966,1810
breaking,412,1384,0.0038400954431488782,0.027409197132332554,1796
brady,1787,1,0.016655947953657876,1.9804333188101555e-05,1788
say,431,1326,0.0040171872232940935,0.026260545807422663,1757
sure,409,1345,0.0038121335831259495,0.026636828137996595,1754
want,1345,389,0.012536233910279712,0.007703885610171506,1734
trophy,1724,2,0.016068748893176374,3.960866637620311e-05,1726
‘this,1724,1,0.016068748893176374,1.9804333188101555e-05,1725
set,892,830,0.008313993046817474,0.01643759654612429,1722
bidens,1,1720,9.320620007642909e-06,0.03406345308353468,1721
coming,250,1454,0.002330155001910727,0.028795500455499664,1704
biden,285,1416,0.002656376702178229,0.028042935794351805,1701
either,1647,53,0.01535106115258787,0.0010496296589693826,1700
aliens,1676,2,0.015621359132809515,3.960866637620311e-05,1678
city,1642,35,0.015304458052549656,0.0006931516615835545,1677
latest,1418,248,0.013216639170837645,0.004911474630649186,1666
could,1100,562,0.0102526820084072,0.011130035251713076,1662
make,1016,646,0.009469749927765196,0.012793599239513606,1662
fascist,1657,2,0.0154442673526643,3.960866637620311e-05,1659
reporter,1647,10,0.01535106115258787,0.00019804333188101558,1657
behind,1565,88,0.014586770311961152,0.001742781320552937,1653
acosta,1643,3,0.015313778672557298,5.941299956430467e-05,1646
democrat,1467,175,0.013673349551212147,0.003465758307917772,1642
using,1270,365,0.011837187409706493,0.007228581613657068,1635
two,1051,577,0.009795971628032698,0.011427100249534599,1628
end,324,1302,0.0030198808824763025,0.025785241810908226,1626
author,1615,2,0.015052801312343296,3.960866637620311e-05,1617
award,30,1577,0.00027961860022928726,0.031231433437636156,1607
law,328,1279,0.003057163362506874,0.02532974214758189,1607
