two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('is', 'breitbart')",2238,1,0.02085954757710483,1.9804333188101555e-05,2239
"('across', 'our')",2226,1,0.020747700137013114,1.9804333188101555e-05,2227
"('border', 'by')",2225,1,0.02073837951700547,1.9804333188101555e-05,2226
"('brought', 'in')",2224,2,0.02072905889699783,3.960866637620311e-05,2226
"('drug', 'cartels')",2224,1,0.02072905889699783,1.9804333188101555e-05,2225
"('open', 'border')",2224,1,0.02072905889699783,1.9804333188101555e-05,2225
"('wide', 'open')",2224,1,0.02072905889699783,1.9804333188101555e-05,2225
"('in', 'by')",2223,1,0.020719738276990186,1.9804333188101555e-05,2224
"('mexican', 'drug')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('by', 'mexican')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('no', 'brought')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('overstayers', 'no')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('visa', 'overstayers')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('by', 'visa')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('our', 'wide')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('brought', 'across')",2222,1,0.020710417656982543,1.9804333188101555e-05,2223
"('on', 'the')",1026,1176,0.009562956127841624,0.02328989582920743,2202
"('to', 'a')",146,2010,0.0013608105211158647,0.03980670970808413,2156
"('russell', 'westbrook')",2140,1,0.019946126816355825,1.9804333188101555e-05,2141
"('to', 'enter')",862,1269,0.008034374446588187,0.025131698815700876,2131
"('search', 'engine')",2127,1,0.019824958756256467,1.9804333188101555e-05,2128
"('late', 'after')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('after', 'practice')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('100', 'extra')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('miss', '100')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('practice', 'to')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('dedicated', 'russell')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('westbrook', 'stays')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('stays', 'late')",2123,1,0.019787676276225893,1.9804333188101555e-05,2124
"('extra', 'shots')",2122,1,0.01977835565621825,1.9804333188101555e-05,2123
"('the', 'cnn')",2113,1,0.019694470076149464,1.9804333188101555e-05,2114
"('with', 'executive')",2112,1,0.01968514945614182,1.9804333188101555e-05,2113
"('gun', 'dealers')",2111,1,0.01967582883613418,1.9804333188101555e-05,2112
"('licenses', 'away')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('favor', 'mainstream')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('overwhelmingly', 'favor')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('results', 'overwhelmingly')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('take', 'gun')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('dealers', 'licenses')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('cnn', 'search')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('if', 'elected')",2109,1,0.019657187596118893,1.9804333188101555e-05,2110
"('executive', 'action')",2108,1,0.01964786697611125,1.9804333188101555e-05,2109
"('elected', 'i')",2105,1,0.019619905116088323,1.9804333188101555e-05,2106
"('harris', 'if')",2105,1,0.019619905116088323,1.9804333188101555e-05,2106
"('engine', 'google')",2098,1,0.01955466077603482,1.9804333188101555e-05,2099
"('eight', 'times')",2083,1,0.01941485147592018,1.9804333188101555e-05,2084
"('times', 'already')",2078,1,0.019368248375881962,1.9804333188101555e-05,2079
"('deported', 'eight')",2078,1,0.019368248375881962,1.9804333188101555e-05,2079
"('search', 'results')",2038,1,0.018995423575576247,1.9804333188101555e-05,2039
"('google', 'search')",2036,1,0.018976782335560962,1.9804333188101555e-05,2037
"('study', 'the')",2024,1,0.018864934895469247,1.9804333188101555e-05,2025
"('media', 'is')",1929,4,0.01797947599474317,7.921733275240622e-05,1933
"('is', 'duckduckgo')",1925,1,0.017942193514712598,1.9804333188101555e-05,1926
"('duckduckgo', 'better')",1924,1,0.017932872894704955,1.9804333188101555e-05,1925
"('kamala', 'harris')",1853,45,0.01727110887416231,0.00089119499346457,1898
"('of', 'all')",1735,149,0.016171275713260446,0.002950845645027132,1884
"('this', 'one')",1776,41,0.016553421133573807,0.0008119776607121638,1817
"('tom', 'brady')",1784,1,0.016627986093634948,1.9804333188101555e-05,1785
"('the', 'least')",1728,1,0.016106031373206944,1.9804333188101555e-05,1729
"('least', 'of')",1725,1,0.016078069513184017,1.9804333188101555e-05,1726
"('means', 'the')",1725,1,0.016078069513184017,1.9804333188101555e-05,1726
"('says', 'tom')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('‘', 'this')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('brady', 'accepting')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('accepting', 'super')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('all', 'says')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('bowl', 'trophy')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('one', 'means')",1724,1,0.016068748893176374,1.9804333188101555e-05,1725
"('out', 'of')",1429,288,0.013319165990921715,0.005703647958173248,1717
"('to', '‘')",1711,4,0.015947580833077016,7.921733275240622e-05,1715
"('admits', 'hes')",1624,55,0.015136686892412083,0.0010892383253455855,1679
"('illegal', 'aliens')",1666,1,0.015528152932733085,1.9804333188101555e-05,1667
"('is', 'a')",370,1282,0.003448629402827876,0.025389155147146195,1652
"('fascist', 'kamala')",1649,1,0.015369702392603156,1.9804333188101555e-05,1650
"('a', 'reporter')",1629,2,0.015183289992450298,3.960866637620311e-05,1631
"('a', 'serious')",1617,12,0.015071442552358583,0.0002376519982572187,1629
"('acosta', 'admits')",1614,1,0.015043480692335654,1.9804333188101555e-05,1615
"('reporter', 'hes')",1614,1,0.015043480692335654,1.9804333188101555e-05,1615
"('serious', 'author')",1614,1,0.015043480692335654,1.9804333188101555e-05,1615
"('author', 'either')",1614,1,0.015043480692335654,1.9804333188101555e-05,1615
"('not', 'sure')",327,1274,0.003047842742499231,0.025230720481641385,1601
